순위,제목,가수,가사,장르,발매일,Month
42,추억은 만남보다 이별에 남아,정동하,아득한 시간 속에 아직 우리 사랑이 남아있을까 멀어지던 그날의 너를 따라 걸어도 텅 빈 거리엔 미움만 너의 흔적을 마주칠 때마다 익숙함 속에 떠나보내던 소중했던 모든 날들은 후회로 남아 이렇게 또 내게 다가오나 봐 멍하니 혼자 남아 나도 모르게 널 그리워하다 떠오르는 네 생각에 하루를 살아 선명했던 우리의 추억은 만남보다 이별에 남아 여전히 너를 사랑하게 하나 봐 그날처럼 저녁 빛에 밤이 물들면 길게 늘어진 그림자처럼 흩어질 듯 더 커져가는 너의 모습은 아직도 내 안에 가득한가 봐 멍하니 혼자 남아 나도 모르게 널 그리워하다 떠오르는 네 생각에 하루를 살아 선명했던 우리의 추억은 만남보다 이별에 남아 여전히 너를 사랑하고 있나 봐 바보처럼 흩날리는 기억의 모든 순간마다 너를 매일 이렇게 불러본다 꼭 한 번쯤 너에게 해주고 싶었던 말 너무 사랑했다고 다시는 너를 떠나지 않겠다고 여전히 너를 사랑하고 있다고 그날 보다,발라드,2021.01.31,202108
43,Dolphin,오마이걸 (OH MY GIRL),oh my god 타이밍이 참 얄미워 오늘 같은 날 마주쳐 이게 뭐야 머리는 엉망인 데다 상태가 말이 아니야 모른 척 지나가 줘 내 맘이 방심할 때마다 불쑥 나타난 뒤 헤엄치듯 멀어지는 너 또 물보라를 일으켜 da da da da da da da da da da da da da da 또 물보라를 일으켜 da da da da da da da da da da da da da da 또 물보라를 일으켜 어쩐지 오늘 알람이 안 울려 아무거나 막 입었고 지각이야 아래로 몸을 낮추고 숨을 꾹 참아봤지만 아이쿠 들켰나 봐 내 맘이 방심할 때마다 불쑥 나타난 뒤 헤엄치듯 멀어지는 너 또 물보라를 일으켜 da da da da da da da da da da da da da da 또 물보라를 일으켜 da da da da da da da da da da da da da da 또 물보라를 일으켜 이 파도 위 난 온종일 서핑을 하는 느낌 아찔한 feeling 난 솔직히 푹 빠졌지 하지만 이건 secret 또 물보라를 일으켜 갑자기 웃으며 얼굴을 불쑥 다가온 뒤 원을 갈라 하트를 그려 또 물보라를 일으켜 da da da da da da da da da da da da da da 또 물보라를 일으켜 da da da da da da da da da da da da da da 또 물보라를 일으켜 da da da da da da da da da da da da da da 또 물보라를 일으켜 da da da da da da da da da da da da da da 또 물보라를 일으켜,댄스,2020.04.27,202108
44,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비가 오고 네가 생각나 비가 오고 또 비가 오고 슬픈 음악이 흐르면 옛 노래처럼 네가 생각나 네가 생각나 비가 오고 잠이 안 오고 슬픈 음악이 흐르면 옛 가사처럼 네가 생각나 네가 생각나 네가 생각나 술이 물처럼 넘어가네 오늘따라 몸이 예전 같지 않은 걸 내 마음이 모르나 봐 때마침 네가 좋아했던 옛 노래도 흐르니 다시 손 틈새 스며드는 memory 위험해 위험해 속 시원하게 운다 감정을 일절 금했다간 한 순간에 훅 가 구차하게 내 탓 네 탓 이 쓸쓸한 날씨 탓 하긴 싫다 마음 편히 널 그리워할래 인생 뭐 있냐 어차피 알 수 없는 내일인데 I know I know you will never take me back 마음이 약해질 수록 술이 더 세지네 이런 내가 싫겠지만 이해해 인생 뭐 있냐 몇 장 뒤엔 마지막 페이지인데 I know I know you will never take me back 그칠 때만 되면 또 다시 비가 내리네 난 잘 지내 비가 오고 또 비가 오고 슬픈 음악이 흐르면 옛 노래처럼 네가 생각나 네가 생각나 비가 오고 잠이 안 오고 슬픈 음악이 흐르면 옛 가사처럼 네가 생각나 네가 생각나 네가 생각나 다 잊고 싶었지만 증발했다고 믿었던 추억이 비가 됐나 봐 창밖에 쏟아지는 빗방울 내 마음을 두드리면 엉킨 감정을 풀고 다시 이어지는 인연 괜찮은 척 해서 더 아파야 했던 지난 날 이젠 웃으며 맞이하네 공허한 밤 혼자 내뱉는 이 넋두리도 메아리 치다 지쳐 언젠가 끝나겠지 뭐 내버려 둬 사랑 뭐 있냐 어차피 돌아서면 남인데 I know I know you will never take me back 몸이 멀어질 수록 멀어지는게 마음인데 이런 내가 싫겠지만 이해해 사랑 뭐 있냐 몇 장 뒤엔 마지막 페이지인데 I know I know you will never take me back 그칠 때만 되면 또 다시 비가 내리네 잘 지내 비가 오고 또 비가 오고 슬픈 음악이 흐르면 옛 노래처럼 네가 생각나 네가 생각나 비가 오고 잠이 안 오고 슬픈 음악이 흐르면 옛 가사처럼 네가 생각나 네가 생각나 네가 생각나 비 오는 날에 듣기 좋은 노래 자꾸만 더 늘어가네요 비가 오고 비가 오고 또 비가 오고 슬픈 음악이 흐르면 옛 노래처럼 네가 생각나 네가 생각나 비가 오고 잠이 안 오고 슬픈 음악이 흐르면 옛 가사처럼 네가 생각나 네가 생각나 네가 생각나 비 오는 날에 듣기 좋은 노래 자꾸만 더 늘어가네요 이 비가 그치는 날에 해 뜨는 날에 이런 노래 그만할게요,랩/힙합,2021.06.29,202108
45,Blueming,아이유,"‘뭐해?‘라는 두 글자에 ‘네가 보고 싶어’ 나의 속마음을 담아 우 이모티콘 하나하나 속에 달라지는 내 미묘한 심리를 알까 우  아니 바쁘지 않아 nothing no no 잠들어 있지 않아 insomnia nia nia 지금 다른 사람과 함께이지 않아 응, 나도 너를 생각 중  우리의 네모 칸은 bloom 엄지손가락으로 장미꽃을 피워 향기에 취할 것 같아 우 오직 둘만의 비밀의 정원  I feel bloom I feel bloom I feel bloom 너에게 한 송이를 더 보내  밤샘 작업으로 업데이트 흥미로운 이 작품의 지은이 that’s me 우 어쩜 이 관계의 클라이맥스 2막으로 넘어가기엔 지금이 good timing 우  같은 맘인 걸 알아 realize la lize 말을 고르지 말아 just reply la la ly 조금 장난스러운 나의 은유에 네 해석이 궁금해  우리의 색은 gray and blue 엄지손가락으로 말풍선을 띄워 금세 터질 것 같아 우 호흡이 가빠져 어지러워  I feel blue. I feel blue. I feel blue. 너에게 가득히 채워  띄어쓰기없이보낼게사랑인것같애 백만송이장미꽃을, 나랑피워볼래? 꽃잎의 색은 우리 마음 가는 대로 칠해 시들 때도 예쁘게  우리의 네모 칸은 bloom 엄지손가락으로 장미꽃을 피워 향기에 취할 것 같아 우 오직 둘만의 비밀의 정원  I feel bloom I feel bloom I feel bloom 너에게 한 송이를 더 보내",록/메탈,2019.11.18,202108
46,잠이 오질 않네요,장범준,당신은 날 설레게 만들어 조용한 내 마음 자꾸만 춤추게 해 얼마나 얼마나 날 떨리게 하는지 당신이 이 밤을 항상 잠 못 들게 해 매일 같은 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서 오오 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워 나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만 오늘도 잠 못 이루는 이 밤 아름다운 그대 나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이 오늘 밤 잠이 오질 않네요 보고 싶은 그대여 당신이 날 힘들게 만들어 갑자기 내 마음 자꾸만 멍들게 해 얼마나 얼마나 잠 못 들게 하는지 고요한 내 마음 항상 시끄럽게 해 매일 같은 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서 워 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워 나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만 오늘도 잠 못 이루는 이 밤 아름다운 그대 나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이 오늘 밤 잠이 오질 않네요 보고 싶은 그대여 매일 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서 워오 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워 나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만 오늘도 잠 못 이루는 이 밤 아름다운 그대여 나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이 오늘 밤 잠이 오질 않네요 보고 싶은 그대여,발라드,2020.10.24,202108
47,에잇(Prod.&Feat. SUGA of BTS),아이유,So are you happy now Finally happy now are you  뭐 그대로야 난 다 잃어버린 것 같아  모든 게 맘대로 왔다가 인사도 없이 떠나 이대로는 무엇도 사랑하고 싶지 않아 다 해질 대로 해져버린 기억 속을 여행해  우리는 오렌지 태양 아래 그림자 없이 함께 춤을 춰 정해진 이별 따위는 없어 아름다웠던 그 기억에서 만나 Forever young  우우우 우우우우 우우우 우우우우 Forever we young 우우우 우우우우 이런 악몽이라면 영영 깨지 않을게  섬 그래 여긴 섬 서로가 만든 작은 섬 예 음 forever young 영원이란 말은 모래성  작별은 마치 재난문자 같지 그리움과 같이 맞이하는 아침 서로가 이 영겁을 지나 꼭 이 섬에서 다시 만나  지나듯 날 위로하던 누구의 말대로 고작 한 뼘짜리 추억을 잊는 게 참 쉽지 않아 시간이 지나도 여전히 날 붙드는 그곳에  우리는 오렌지 태양 아래 그림자 없이 함께 춤을 춰 정해진 안녕 따위는 없어 아름다웠던 그 기억에서 만나  우리는 서로를 베고 누워 슬프지 않은 이야기를 나눠 우울한 결말 따위는 없어 난 영원히 널 이 기억에서 만나 Forever young  우우우 우우우우 우우우 우우우우 Forever we young 우우우 우우우우 이런 악몽이라면 영영 깨지 않을게,록/메탈,2020.05.06,202108
48,라라라,SG 워너비,그대는 참 아름다워요 밤 하늘의 별빛보다 빛나요 지친 나의 마음을 따뜻하게 감싸줄 그대 품이 나의 집이죠 세찬 바람 앞에서 꺼질듯한 내 사랑도 잘 참고서 이겨내줬어요 정말 눈물나도록 고마운 맘 아나요 그대 내곁에 살아줘서 사랑해요 사랑해요 내가 그대에게 부족한걸 알지만 세월을 걷다보면 지칠때도 있지만 그대의 쉴곳이 되리라 사랑해요 고마운 내 사랑 평생 그대만을 위해 부를 이노래 사랑 노래 함께 불러요 둘이서 라라라 그대 쳐진 어깨가 내맘을 아프게해요 잘 해준것도 없는 나라서 그대의 고운 손이 세월에 변했어요 못지켜줘서 미안해요 사랑해요 사랑해요 내가 그대에게 부족한걸 알지만 세월을 걷다보면 지칠때도 있지만 그대의 쉴곳이 되리라 사랑해요 고마운 내 사랑 평생 그대만을 위해 부를 이노래 사랑노래 함께 불러요 둘이서 라라라 고마워요 고마워요 그대 자신보다 나를 아껴준 사랑 세상이 등 돌려도 누가 뭐라고 해도 내가 그대 지켜줄게요 사랑해요 소중한 내사랑 평생 그대만을 위해 부를 이노래 사랑노래 함께 불러요 둘이서 라라라 그대 품이 나의 집이죠 영원히 라라라,발라드,2008.04.24,202108
49,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지",참 많이 궁금해 전부 다 궁금해 왜 잠이 안 오고 네 얼굴만 보여 나도 궁금해 이 맘이 궁금해 왜 너만 보면 웃음이 먼저 나와 친구들 모여서 네 말이 나오면 왜 내가 들떠서 더 듣고 싶은지 너만 있으면 난 딴 사람이 돼 또 뜬금없는 어색한 농담을 늘 해 사실 난 이 느낌이 이상해 구름 위가 있다면 여기일까 혹시 그런 걸까 너와 나 그런 걸까 내 맘과 같다면 시작돼 버린 걸까 너를 많이 많이 좋아해 너를 나 사랑하게 됐나 봐 똑같이 말하고 싶은데 내가 그래도 될까 좀 더 기다려볼까 나도 많이 많이 좋아해 사실 난 이런 맘이 처음인데 더 기다려줄게 더 기다려줄래 난 여기 있을게 여기 있어줄래 우리는 이미 같은 맘인걸 내 뭐가 좋은지 난 그게 궁금해 언제부터 내가 네 맘에 살았니 나도 궁금해 Yeah 네 맘이 궁금해 Yeah 싫지 않은 게 아니라 좋은 거지 예쁜 여자들은 No 참 많고 많은데 No 넌 정말 나밖에 안 보이는 건지 멋진 남자들 누구 네 곁에 많은데 어디 어떻게 네가 내게로 오는 거니 Girl 사실 난 우릴 자꾸 상상해 상상해 이런 기분 어쩐지 수상해 같은 하늘 아래 같은 하늘 아래서 같은 생각을 하고 똑같은 말 이제 해도 될 것 같은데 너를 많이 많이 좋아해 너를 나 사랑하게 됐나 봐 똑같이 말하고 싶은데 내가 그래도 될까 좀 더 기다려볼까 나도 많이 많이 좋아해 사실 난 이런 맘이 처음인데 더 기다려줄게 더 기다려줄래 난 여기 있을게 여기 있어줄래 우리는 이미 같은 맘인걸 누가 좋아해 더 내가 더 그런 건 나 중요치 않은걸 나 손 내밀면 그 손 안 놓을 자신 있다면 영원히 그 손을 놓지 않을게 너를 너무너무 좋아해 사실 난 이미 너를 사랑해 똑같이 말할 수 있는데 왜 난 떨리는 건지 자꾸 망설이는지 아니 너를 너를 사랑해 이제는 내 맘 다 말해줄게 날 믿어주겠니 널 믿어볼게 난 이 사랑 안에서 이 사랑 속에서 나란히 같이 걸어가자 둘이,댄스,2021.03.05,202108
50,취기를 빌려 (취향저격 그녀 X 산들),산들,언제부턴가 불쑥 내 습관이 돼버린 너 혹시나 이런 맘이 어쩌면 부담일까 널 주저했어 언제부턴가 점점 내 하루에 스며든 너 아침을 깨우는 네 생각에 어느샌가 거리엔 어둠이 젖어 들고 취기를 빌려 오늘 너에게 고백할 거야 하루하루 네가 좋다고 괜히 어색할까 혼자 애만 태우다 끝끝내 망설여왔던 순간 알잖아 나 무뚝뚝하고 말도 없는 걸 서툰 표현이 쑥스러워서 괜히 쓰다 지울 문자만 바라보다 멋쩍은 쓴웃음만 언제부턴가 가끔 너와 마주칠 때마다 한참을 머뭇거린 어설픈 손 인사만 오늘 밤도 후회로 잦아들고 취기를 빌려 오늘 너에게 고백할 거야 하루하루 보고 싶다고 괜히 어색할까 혼자 애만 태우다 수없이 연습해왔던 그 말 알잖아 나 무뚝뚝하고 말도 없는 걸 서툰 표현이 쑥스러워서 괜히 쓰다 지울 문자만 바라보다 멋쩍은 쓴웃음만 첫눈을 빌려 오늘은 꼭 고백할 거야 작은 너를 품에 안고서 눈을 마주하고 너무 사랑한다고 함께 하고 싶다고,발라드,2020.07.20,202108
1,신호등,이무진,이제야 목적지를 정했지만 가려한 날 막아서네 난 갈 길이 먼데 새빨간 얼굴로 화를 냈던 친구가 생각나네 이미 난 발걸음을 떼었지만 가려한 날 재촉하네 걷기도 힘든데 새파랗게 겁에 질려 도망간 친구가 뇌에 맴도네 건반처럼 생긴 도로 위 수많은 동그라미들 모두가 멈췄다 굴렀다 말은 잘 들어 그건 나도 문제가 아냐 붉은색 푸른색 그 사이 3초 그 짧은 시간 노란색 빛을 내는 저기 저 신호등이 내 머릿속을 텅 비워버려 내가 빠른지도 느린지도 모르겠어 그저 눈앞이 샛노랄 뿐이야 솔직히 말하자면 차라리 운전대를 못 잡던 어릴 때가 더 좋았었던 것 같아 그땐 함께 온 세상을 거닐 친구가 있었으니 건반처럼 생긴 도로 위 수많은 조명들이 날 빠르게 번갈아 가며 비추고 있지만 난 아직 초짜란 말이야 붉은색 푸른색 그 사이 3초 그 짧은 시간 노란색 빛을 내는 저기 저 신호등이 내 머릿속을 텅 비워버려 내가 빠른지도 느린지도 모르겠어 그저 눈앞이 샛노랄 뿐이야 꼬질꼬질한 사람이나 부자 곁엔 아무도 없는 삼색 조명과 이색 칠 위에 서 있어 괴롭히지 마 붉은색 푸른색 그 사이 3초 그 짧은 시간 노란색 빛을 내는 저기 저 신호등이 내 머릿속을 텅 비워버려 내가 빠른지도 느린지도 모르겠어 그저 눈앞이 샛노랄 뿐이야,록/메탈,2021.05.14,202109
2,Next Level,aespa,"I’m on the Next Level Yeah 절대적 룰을 지켜 내 손을 놓지 말아 결속은 나의 무기 광야로 걸어가 알아 네 Home ground 위협에 맞서서 제껴라 제껴라 제껴라  상상도 못한 Black out 유혹은 깊고 진해 (Too hot too hot) 맞잡은 손을 놓쳐 난 절대 포기 못해  I’m on the Next Level 저 너머의 문을 열어 Next Level 널 결국엔 내가 부셔 Next Level KOSMO에 닿을 때까지 Next Level 제껴라 제껴라 제껴라  La la la la la la La la la la la la La la la la la la La la la la la  I see the NU EVO. 적대적인 고난과 슬픔은 널 더 Popping 진화시켜 That’s my naevis It’s my naevis You lead, we follow 감정들을 배운 다음 Watch me while I make it out  Watch me while I work it out Watch me while I make it out Watch me while I work it out Work it work it work it out  감당할 수 없는 절망도 내 믿음을 깨지 못해 더 아픈 시련을 맞아도 난 잡은 손을 놓지 않을게 Oh  절대로 뒤를 돌아보지 말아 광야의 것 탐내지 말아 약속이 깨지면 모두 걷잡을 수 없게 돼 언제부턴가 불안해져 가는 신호 널 파괴하고 말 거야 (We want it) Come on! Show me the way to KOSMO Yeah  Black Mamba가 만들어낸 환각 퀘스트 aespa, ae를 분리시켜놓길 원해 그래 중심을 잃고 목소리도 잃고 비난받고 사람들과 멀어지는 착각 속에 naevis 우리 ae, ae들을 불러봐 aespa의 Next Level “P.O.S”를 열어봐 이건 REAL WORLD 깨어났어 We against the villain What’s the name? Black Mamba  결국 난 문을 열어 그 빛은 네겐 Fire (Too hot too hot) 난 궁금해 미치겠어 이다음에 펼칠 Story Huh!  I’m on the Next Level 저 너머의 문을 열어 Next Level 널 결국엔 내가 부셔 Next Level KOSMO에 닿을 때까지 Next Level 제껴라 제껴라 제껴라  I’m on the Next Level 더 강해져 자유롭게 Next Level 난 광야의 내가 아냐 Next Level 야수 같은 나를 느껴 Next Level 제껴라 제껴라 제껴라 Huh!",댄스,2021.05.17,202109
3,바라만 본다,MSG워너비(M.O.M),내가 너라면 다 알아볼 텐데 널 위할 사람 찾아낼 텐데 지난 오랜 시간 너의 그 곁을 지켜온 나라는 걸 내가 너였다면 참 행복할 텐데 한 사람을 다 가졌으니까 둔한 바보도 눈치챌 그 사랑을 너만 왜 모르니 너를 바라만 바라만 본다 외쳐 네 이름만 부른다 보고 싶은 맘에 너를 향한 그 발걸음 네 곁을 맴도는데 오늘도 그리고 그리워하다 애써 참았던 눈물이 흘러 그저 멀리서만 바라보다 또 소리쳐 네가 보고 싶다 네가 나라면 더 참 아팠을 텐데 슬픈 역할은 내가 맡을게 웃는 모습만 보이며 살아가 줘 내가 볼 수 있게 너를 바라만 바라만 본다 외쳐 네 이름만 부른다 보고 싶은 맘에 너를 향한 그 발걸음 네 곁을 맴도는데 오늘도 그리고 그리워하다 애써 참았던 눈물이 흘러 그저 멀리서만 바라보다 또 소리쳐 네가 보고 싶다 한 걸음 더 다가갈까 더 가까이 네게 갈까 OH 어제보다 더 내일 더 널 사랑해 I’ll make you love me someday 혼자 바라고 바라만 보다 울컥 그리움이 솟는다 바보 같은 맘에 하지 못한 그 한마디 널 사랑한다는 말 얼마나 그리고 그리워해야 내 맘 너의 곁에 닿게 될까 매일 하루 종일 너의 생각에 사무쳐 너무 보고 싶다,발라드,2021.06.26,202109
4,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)",너를 사랑하고 있어 너를 사랑하고 있어 자기야 날 사랑해주면 안 될까 말처럼 쉽지는 않은 걸 알지만 세게 날 안아주면 안 될까 오늘따라 세상이 무섭단 말이야 잠깐 인공호흡을 해주라 왠지 숨이 잘 안 쉬어져서 난 날 놓을 거면 과거에 놔주라 네가 있는 시간에서 죽어갈 거야 우리 그냥 결혼하면 안 될까 돈은 내가 열심히 벌 테니까 이 세상과 내가 눈감는 날 까지만 날 사랑한다 말해주라 내가 너를 사랑해도 네가 날 안 사랑해도 우린 나름대로 행복할 거야 내 방 천장에 그려 본 내 우주에게 물어본 말은 나를 사랑하면 안 될까 오사카나 오키나와의 바다 내 뮤비들을 찍었던 곳 말이야 같이 가자 약속했었잖아 그 약속이 깨질까 봐 겁이 나 WHUTUF이 결혼한다 하던 날 진짜 처음으로 걔가 부럽더라 하얀 웨딩드레스를 입은 아름다운 너와 영원을 말할 수 있을까 가족이 되어주라 내 집이 되어주라 나도 날 줄 테니 너도 널 주라 평생의 연인이야 네 말대로 말이야 그래 별과 우주잖아 날 사랑하지 않는다면 나의 사랑 반을 받아 남은 사랑의 반도 내가 채워줄 거야 꼭 내가 너를 사랑해도 네가 날 안 사랑해도 우린 나름대로 행복할 거야 내 방 천장에 그려 본 내 우주에게 물어본 말은 나를 사랑하면 안 될까 내가 너를 사랑해도 네가 날 안 사랑해도 우린 나름대로 행복할 거야 내 방 천장에 그려 본 내 우주에게 물어본 말은 나를 사랑하면 안 될까,랩/힙합,2020.06.20,202109
5,Weekend,태연 (TAEYEON),가장 가까운 바다 혼자만의 영화관 그냥 이끌리는 대로 해도 괜찮으니까 Every morning 울린 Beep beep beep beep 소리 귀에 윙윙윙 맴도는 나를 재촉하던 모닝콜 없이 일어나 Cheese cake 한 입 유리컵 한가득 내린 커피 한 잔 아이스로 할래 아주 여유롭게 문득 시곌 보니 벌써 시간은 열두시 그래도 아주 느긋해 그리곤 하품 한 번 한껏 기지개도 켜고 생각해 오늘 뭐 할까 창문 너머 계절에 시선이 닿은 그 순간 쏟아지는 햇살 내 맘을 두드려 내게 손짓하는 싱그러운 바람 타고서 떠나볼래 When the weekend comes I can do whatever I want 바람 따라 흩어진 cloud 더 자유롭게 we can go 가장 가까운 바다 혼자만의 영화관 그냥 이끌리는 대로 해도 괜찮으니까 훌쩍 떠나보는 drive 뚜벅 걸어도 좋아 뭐든 발길 닿는 대로 지금 떠나보려 해 oh 하루쯤 세상의 얘길 무시한 채 내가 나의 하루를 조립해 보려 해 더는 no no stress 고민 안 할래 Move it right left right 내 맘대로 가본 적도 없는 길 뭐가 있든지 I don’t need a map when I roll the streets 이어 가보는 이윤 for a little fun 계속 up up up 좀 더 올라가 한쪽 길모퉁이 따라 맘대로 자라난 조그만 이름 모를 꽃 한참을 바라보다 뜨거운 햇살을 피해 벤치에 잠깐 앉아 봐 느려지는 걸음 그림자의 속도를 따라 함께 걷는 태양과 발을 맞추고 뒤이을 달빛을 따라 돌아오고 싶은 걸 떠나볼래 When the weekend comes I can do whatever I want 바람 따라 흩어진 cloud 더 자유롭게 we can go 아무 계획이 없어서 완벽한 plan 우연히 찾아낸 secret place 그곳에 두고 와 나만의 작은 짐 골목길 끝을 돌아 만나게 될 기분 좋은 surprise 또 설렘 두근두근 온종일 고소한 향기의 coffee shop 눈에 들어오는 예쁜 옷 Do it for the weekend do it for the weekend 맘에 들어오는 걸 더는 망설이긴 싫은 걸 그래도 돼 When the weekend comes I can do whatever I want 바람 따라 흩어진 cloud 더 자유롭게 we can go 가장 가까운 바다 혼자만의 영화관 그냥 이끌리는 대로 해도 괜찮으니까 훌쩍 떠나보는 drive 뚜벅 걸어도 좋아 뭐든 발길 닿는 대로 지금 떠나보려 해 oh,댄스,2021.07.06,202109
6,낙하 (with 아이유),AKMU (악뮤),"말했잖아 언젠가 이런 날이 온다면 난 널 혼자 내버려두지 않을 거라고  죄다 낭떠러지야, 봐 예상했던 것보다 더 아플지도 모르지만  내 손을 잡으면 하늘을 나는 정도 그 이상도 느낄 수 있을 거야  눈 딱 감고 낙하- 하- 믿어 날 눈 딱 감고 낙하 눈 딱 감고 낙하- 하- 믿어 날 눈 딱 감고 낙하   초토화된 곳이든 뜨거운 불구덩이든 말했잖아 언젠가 그런 날에 나는 널 떠나지 않겠다고  죄다 낭떠러지야, 봐 예상했던 것보다 더 아플지도 모르지만  내 눈을 본다면 밤하늘의 별이 되는 기분을 느낄 수 있을 거야  셋 하면 뛰어 낙하- 하- 핫 둘 셋 숨 딱 참고 낙하 셋 하면 뛰어 낙하- 하- 핫 둘 셋 숨 딱 참고 낙하     Ooh show how we love 보여주자 웃을 준비를 끝낸 그들에게 아무것도 우리를 망가뜨리지 못해   눈 딱 감고 낙하- 하- 믿어 날 눈 딱 감고 낙하 셋 하면 뛰어 낙하- 하- 핫 둘 셋 숨 딱 참고 낙하",록/메탈,2021.07.26,202109
7,Permission to Dance,방탄소년단,"It’s the thought of being young When your heart’s just like a drum Beating louder with no way to guard it When it all seems like it’s wrong Just sing along to Elton John And to that feeling, we’re just getting started  When the nights get colder And the rhythms got you falling behind Just dream about that moment When you look yourself right in the eye, eye, eye Then you say  I wanna dance The music’s got me going Ain’t nothing that can stop how we move yeah Let’s break our plans And live just like we’re golden And roll in like we’re dancing fools  We don’t need to worry ‘Cause when we fall we know how to land Don’t need to talk the talk, just walk the walk tonight ‘Cause we don’t need permission to dance  There’s always something that’s standing in the way But if you don’t let it faze ya You’ll know just how to break Just keep the right vibe yeah ‘Cause there’s no looking back There ain’t no one to prove We don’t got this on lock yeah  The wait is over The time is now so let’s do it right Yeah we’ll keep going And stay up until we see the sunrise And we’ll say  I wanna dance The music’s got me going Ain’t nothing that can stop how we move yeah Let’s break our plans And live just like we’re golden And roll in like we’re dancing fools  We don’t need to worry ‘Cause when we fall we know how to land Don’t need to talk the talk, just walk the walk tonight ‘Cause we don’t need permission to dance  Da na na na na na na Da na na na na na na Da na na na na na na No, we don’t need permission to dance  Da na na na na na na Da na na na na na na Da na na na na na na  Well let me show ya That we can keep the fire alive ‘Cause it’s not over Till it’s over say it one more time Say  I wanna dance The music’s got me going Ain’t nothing that can stop how we move yeah Let’s break our plans And live just like we’re golden And roll in like we’re dancing fools  We don’t need to worry ‘Cause when we fall we know how to land Don’t need to talk the talk, just walk the walk tonight ‘Cause we don’t need permission to dance",댄스,2021.07.09,202109
8,Queendom,Red Velvet (레드벨벳),"Queens Ah yeah ah yeah Ah yeah ah yeah Dururururu uh-huh Ah yeah ah yeah Ah yeah ah yeah Yeah  Hey, here we go again 눈부신 햇살 아래 아이처럼 활짝 웃는 너  Oh hey! 같은 꿈속에 우릴 계속 불러 댄 먼 기억 너머의 Wonderland  We are Queens in the red castle Don’t need crown 타고났지 Dazzle 함께 만들어 온 Paradigm 확실히 다른 Stereotype  볼수록 빛나는 Pose Problems? 저 하늘 위로 던져! We are makin’ the rules  ‘Cause we are Queens and Kings 손을 더 높이 모일수록 아름답게 Shining bling bling 비가 내려도 Strong and beautiful 모두 다른 색깔로 완성한 Rainbow  Ladida-do Ba-badida Ladida-do Ba-badida 다시 한번 시작해볼까 That’s our Queendom yeah  Ladida-do Ba-badida Ladida-do Ba-badida 너와 손을 맞잡은 순간 That’s our Queendom  We we we strong, nothing missing Wake up 답은 Simple Be Boss 불어 Whistle 더 큰 세상이 너를 주목해  축제를 열어볼까 난 너의 손을 잡아 기다린 지금이야 너답게 펼쳐봐  놀러와 My carnival Climax? 지금부터야 Watch out! We are makin’ the rules  ‘Cause we are Queens and Kings 손을 더 높이 모일수록 아름답게 Shining bling bling 비가 내려도 Strong and beautiful 모두 다른 색깔로 완성한 Rainbow  더 크게 외쳐 We do it better 어둠을 헤쳐 빛을 따라가 새로운 Color 이름은 Together It’s now or never, we got forever  ‘Cause we are Queens and Kings 손을 더 높이 모일수록 아름답게 Shining bling bling 비가 내려도 Strong and beautiful 모두 다른 색깔로 완성한 Rainbow  Ladida-do Ba-badida Ladida-do Ba-badida 다시 한번 시작해볼까 That’s our Queendom yeah  Ladida-do Ba-badida Ladida-do Ba-badida 너와 손을 맞잡은 순간 That’s our Queendom yeah",댄스,2021.08.16,202109
9,좋아좋아,조정석,처음 널 만나는 날 노란 세 송이 장미를 들고 룰루랄라 신촌을 향하는 내 가슴은 마냥 두근두근 생머리 휘날리며 나를 향해 손을 흔드는 너 머리에서 발 끝까지 나를 사로잡네 이야에로 니가 좋아 너무 좋아 내 모든걸 주고 싶어 너에게만은 내 마음 난 꾸미고 싶지 않아 언제까지 너와 함께 있을 거야 예 룰루랄라 신촌을 누비는 내 마음은 마냥 이야에로 여보세요 나의 천사 어떻게 내 마음을 훔쳤나요 괜찮아요 나의 천사 가져간 내 마음을 고이 간직해줘요 니가 좋아 너무 좋아 내 모든걸 주고 싶어 너에게만은 내 마음 난 꾸미고 싶지 않아 니가 좋아 너무 좋아 내 모든걸 주고 싶어 너에게만은 내 마음 난 꾸미고 싶지 않아 언제까지 너와 함께 있을 거야 음,"발라드, 국내드라마",2021.07.16,202109
